Season,Date,GameID,posteam,DefensiveTeam,qtr,down,ydstogo,yrdline100,PlayType,Yards.Gained,PassLocation,RunLocation,RushAttempt,PassAttempt,QBHit,Touchdown,Fumble,InterceptionThrown,Accepted.Penalty,Penalty.Yards,PenaltyType,PenalizedTeam,PenaltySide
2009,2009-09-13,2009091312,CHI,GB,3,1.0,10,64.0,Pass,15,right,,0,1,0,0,0,0,0,0,,,None
2009,2009-09-13,2009091312,CHI,GB,3,1.0,10,49.0,Run,5,,left,1,0,0,0,0,0,0,0,,,None
2009,2009-09-13,2009091312,CHI,GB,3,2.0,5,44.0,Run,3,,middle,1,0,0,0,0,0,0,0,,,None
2009,2009-09-13,2009091312,CHI,GB,3,3.0,2,41.0,Pass,23,left,,0,1,0,0,0,0,0,0,,,None
2009,2009-09-13,2009091312,CHI,GB,3,1.0,10,18.0,Run,2,,right,1,0,0,0,0,0,0,0,,,None
2009,2009-09-13,2009091312,CHI,GB,3,2.0,13,21.0,Sack,-9,,,0,0,1,0,0,0,0,0,,,None
2009,2009-09-13,2009091312,CHI,GB,3,3.0,22,30.0,Run,1,,left,1,0,0,0,0,0,0,0,,,None
2009,2009-09-13,2009091312,CHI,GB,3,4.0,21,29.0,Field Goal,0,,,0,0,0,0,0,0,0,0,,,None
2009,2009-09-13,2009091312,CHI,GB,4,1.0,10,73.0,Run,-1,,middle,1,0,0,0,0,0,0,0,,,None
2009,2009-09-13,2009091312,CHI,GB,4,2.0,11,74.0,Run,5,,right,1,0,0,0,0,0,0,0,,,None
2009,2009-09-13,2009091312,CHI,GB,4,3.0,11,74.0,Pass,0,left,,0,1,0,0,0,0,0,0,,,None
2009,2009-09-13,2009091312,CHI,GB,4,4.0,11,74.0,Run,4,,right,1,0,0,0,0,0,0,0,,,None
2009,2009-09-13,2009091312,CHI,GB,4,1.0,10,72.0,Pass,11,left,,0,1,0,0,0,0,0,0,,,None
2009,2009-09-13,2009091312,CHI,GB,4,1.0,10,61.0,Pass,0,right,,0,1,0,0,0,0,0,0,,,None
2009,2009-09-13,2009091312,CHI,GB,4,2.0,10,61.0,Run,1,,left,1,0,0,0,0,0,0,0,,,None
2009,2009-09-13,2009091312,CHI,GB,4,1.0,10,55.0,Pass,24,right,,0,1,0,0,0,0,0,0,,,None
2009,2009-09-13,2009091312,CHI,GB,4,1.0,10,31.0,Run,0,,left,1,0,0,0,0,0,0,0,,,None
2009,2009-09-13,2009091312,CHI,GB,4,2.0,10,31.0,Pass,8,right,,0,1,0,0,0,0,0,0,,,None
2009,2009-09-13,2009091312,CHI,GB,4,3.0,2,23.0,Pass,8,left,,0,1,0,0,0,0,0,0,,,None
2009,2009-09-13,2009091312,CHI,GB,4,1.0,10,15.0,Run,3,,left,1,0,0,0,0,0,0,0,,,None
